Airport,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay_mean,LateArrMean,LatePercnt,ArrClass
ORD,01/01/2007,Chicago,0,0,6,2,16,21,-2,0,0,0,IL,0,0,13.54756871,34.13320463,54.75687104,0
ORD,02/01/2007,Chicago,0,0,6,2,16,15,-3,0,0,0,IL,0,0,6.905733722,26.75051975,46.74441205,0
ORD,03/01/2007,Chicago,0,0,9,5,16,25,1,0,0,0,IL,0,0,0.011571842,21.1875,37.02989392,0
ORD,04/01/2007,Chicago,0,0,11,8,13,28,4,16.76,1,0,IL,0,0,43.01085884,77.42583732,61.89536032,1
ORD,05/01/2007,Chicago,0,0,10,8,12,13,6,0.76,1,0,IL,0,0,4.756050339,36.65473146,37.85091965,0
ORD,06/01/2007,Chicago,0,0,6,2,14,14,-2,0.51,1,0,IL,0,0,-0.971270718,25.9209622,32.15469613,0
ORD,07/01/2007,Chicago,0,0,5,1,13,14,-3,1.27,1,1,IL,0,0,2.293359762,23.82650602,41.12983152,0
ORD,08/01/2007,Chicago,0,0,4,1,16,21,-3,T,0,1,IL,0,0,-3.712523719,23.14487633,26.85009488,0
ORD,09/01/2007,Chicago,0,0,1,-2,16,25,-6,0,0,0,IL,0,0,31.68593449,56.28593041,63.68015414,1
ORD,10/01/2007,Chicago,0,0,2,-3,16,19,-8,0,0,0,IL,0,0,4.849236641,29.20334928,39.88549618,0
ORD,11/01/2007,Chicago,0,0,7,4,16,30,2,0.51,1,0,IL,0,0,34.27623762,73.5853211,53.96039604,1
ORD,12/01/2007,Chicago,0,0,9,5,9,15,1,4.83,1,1,IL,0,0,76.64904863,96.47916667,81.18393235,1
ORD,13/01/2007,Chicago,0,0,1,-1,15,19,-2,T,0,1,IL,0,0,10.54141657,29.89977221,52.70108043,0
ORD,14/01/2007,Chicago,0,0,1,0,11,17,-1,11.18,1,1,IL,0,0,34.80225989,50.11128049,74.12429379,1
ORD,15/01/2007,Chicago,0,0,1,-3,6,19,-6,5.08,1,1,IL,0,0,72.92332613,86.57808564,85.74514039,1
ORD,16/01/2007,Chicago,0,0,-5,-8,16,17,-12,T,0,1,IL,0,0,20.94583751,38.2952381,63.18956871,1
ORD,17/01/2007,Chicago,0,0,-6,-9,16,15,-13,T,0,1,IL,0,0,3.690127077,30.59424084,37.34115347,0
ORD,18/01/2007,Chicago,0,0,-1,-2,11,18,-3,T,0,1,IL,0,0,47.67430279,62.86885246,78.98406375,1
ORD,19/01/2007,Chicago,0,0,-3,-5,16,22,-8,T,0,1,IL,0,0,14.93457031,34.12307692,57.12890625,0
ORD,20/01/2007,Chicago,0,0,-3,-7,16,9,-12,0,0,0,IL,0,0,-0.56627907,23.89169675,32.20930233,0
ORD,21/01/2007,Chicago,0,0,-2,-2,5,13,-3,2.03,0,1,IL,0,0,88.83628922,97.01775148,92.22373806,1
ORD,22/01/2007,Chicago,0,0,-1,-2,13,16,-4,T,0,0,IL,0,0,19.73730469,38.00938967,62.40234375,1
ORD,23/01/2007,Chicago,0,0,-3,-4,12,19,-6,0,0,0,IL,0,0,2.028735632,20.16666667,39.65517241,0
ORD,24/01/2007,Chicago,0,0,-2,-4,14,16,-6,T,0,1,IL,0,0,1.860153257,19.49411765,40.70881226,0
ORD,25/01/2007,Chicago,0,0,-4,-7,16,15,-9,T,0,0,IL,0,0,3.015296367,20.28761062,43.21223709,0
ORD,26/01/2007,Chicago,0,0,6,0,16,23,-7,0,0,0,IL,0,0,27.95490196,41.57972973,72.54901961,1
ORD,27/01/2007,Chicago,0,0,1,-4,12,19,-9,T,0,1,IL,0,0,-1.935260116,26.75313808,27.6300578,0
ORD,28/01/2007,Chicago,0,0,-4,-9,8,21,-14,0.51,0,1,IL,0,0,38.85200411,52.08690013,79.23946557,1
ORD,29/01/2007,Chicago,0,0,-6,-9,11,15,-13,T,0,1,IL,0,0,41.78031809,55.3312263,78.62823062,1
ORD,30/01/2007,Chicago,0,0,-8,-11,12,23,-14,T,0,1,IL,0,0,9.504322767,25.98926655,53.69836695,0
ORD,31/01/2007,Chicago,0,0,-7,-11,15,21,-16,T,0,1,IL,0,0,3.432015429,22.02283105,42.23722276,0
ORD,01/02/2007,Chicago,0,0,-4,-8,13,19,-12,T,0,1,IL,0,0,13.05192308,27.8115942,59.71153846,0
ORD,02/02/2007,Chicago,0,0,-11,-13,16,21,-14,T,0,1,IL,0,0,9.715244487,25.96613191,53.78715244,0
ORD,03/02/2007,Chicago,0,0,-12,-16,14,29,-21,T,0,1,IL,0,0,45.75721154,54.45454545,85.9375,1
ORD,04/02/2007,Chicago,0,0,-17,-19,16,22,-21,0,0,0,IL,0,0,18.27978723,33.81561462,64.04255319,1
ORD,05/02/2007,Chicago,0,0,-15,-19,16,18,-23,0,0,0,IL,0,0,32.92719919,44.62597403,77.85642063,1
ORD,06/02/2007,Chicago,0,0,-12,-16,8,10,-21,2.79,0,1,IL,0,0,98.25490196,111.9734904,88.75816993,1
ORD,07/02/2007,Chicago,0,0,-12,-15,16,19,-19,0,0,0,IL,0,0,18.991,35.45669291,63.5,1
ORD,08/02/2007,Chicago,0,0,-12,-16,16,20,-20,0,0,0,IL,0,0,10.16811594,28.70510397,51.11111111,0
ORD,09/02/2007,Chicago,0,0,-8,-12,16,17,-17,0,0,0,IL,0,0,6.02581262,26.76068376,44.74187381,0
ORD,10/02/2007,Chicago,0,0,-11,-14,16,16,-18,0,0,0,IL,0,0,-0.883101852,22.30935252,32.17592593,0
ORD,11/02/2007,Chicago,0,0,-3,-9,14,14,-15,T,0,1,IL,0,0,7.487679672,25.22699387,50.20533881,0
ORD,12/02/2007,Chicago,0,0,-1,-2,6,19,-4,2.29,0,1,IL,0,0,63.75,69.60249151,92.36401674,1
ORD,13/02/2007,Chicago,0,0,-3,-6,2,32,-9,9.91,0,1,IL,0,0,91.27130045,96.73696682,94.61883408,1
ORD,14/02/2007,Chicago,1,0,-6,-10,9,19,-14,0.76,0,1,IL,0,0,42.15395284,58.07454545,76.28294036,1
ORD,15/02/2007,Chicago,0,0,-10,-13,16,19,-17,0,0,0,IL,0,0,50.6629667,60.98695136,85.06559031,1
ORD,16/02/2007,Chicago,0,0,-7,-13,15,22,-20,T,0,1,IL,0,0,31.55139289,46.23653088,73.10278578,1
ORD,17/02/2007,Chicago,0,0,-3,-6,7,15,-9,2.03,0,1,IL,0,0,45.96248535,55.4264099,85.22860492,1
ORD,18/02/2007,Chicago,0,0,-6,-8,16,15,-12,0,0,0,IL,0,0,9.310590631,31.18125,48.87983707,0
ORD,19/02/2007,Chicago,0,0,6,-2,16,26,-11,0,0,0,IL,0,0,9.933207902,25.72696246,55.12699906,0
ORD,20/02/2007,Chicago,0,0,7,3,12,9,-1,0,0,0,IL,0,0,0.788279773,22.83113456,35.82230624,0
ORD,21/02/2007,Chicago,0,0,9,2,11,15,-5,0,0,0,IL,0,0,5.728927203,28.35874439,42.72030651,0
ORD,22/02/2007,Chicago,0,0,4,1,16,25,-3,0,0,0,IL,0,0,49.52390641,60.0615942,84.23194303,1
ORD,23/02/2007,Chicago,0,0,1,-2,16,18,-5,T,0,0,IL,0,0,8.489990467,29.22268041,46.23450906,0
ORD,24/02/2007,Chicago,1,0,0,-2,10,32,-3,10.67,1,1,IL,0,0,17.33586626,39.83791209,55.31914894,1
ORD,25/02/2007,Chicago,0,0,3,2,6,23,-1,11.18,1,1,IL,0,0,45.91058394,62.76303318,77.00729927,1
ORD,26/02/2007,Chicago,0,0,1,0,9,19,-1,0.76,0,1,IL,0,0,70.01397849,82.73225405,86.34408602,1
ORD,27/02/2007,Chicago,0,0,1,-1,13,11,-2,0,0,0,IL,0,0,6.983901515,35.15935335,41.00378788,0
ORD,28/02/2007,Chicago,0,0,2,0,12,19,-2,0.25,1,1,IL,1,0,8.76240458,30.31818182,48.28244275,0
ORD,01/03/2007,Chicago,0,0,7,4,7,27,0,27.69,1,1,IL,1,0,121.1713918,127.8102981,95.10309278,1
ORD,02/03/2007,Chicago,0,0,0,-2,5,37,-4,1.52,0,1,IL,0,0,90.02883355,98.58345221,91.87418087,1
ORD,03/03/2007,Chicago,0,0,-3,-4,11,21,-7,0.51,0,1,IL,0,0,32.96287129,46.43089431,76.11386139,1
ORD,04/03/2007,Chicago,0,0,-1,-5,16,22,-10,0,0,0,IL,0,0,7.25974026,29.01956522,45.95404595,0
ORD,05/03/2007,Chicago,0,0,1,-3,16,20,-7,0,0,0,IL,0,0,7.272983114,28.09311741,46.34146341,0
ORD,06/03/2007,Chicago,0,0,-4,-7,11,15,-9,1.27,0,1,IL,0,0,5.529580153,23.9047619,46.08778626,0
ORD,07/03/2007,Chicago,0,0,-2,-4,12,12,-6,0.76,0,1,IL,0,0,30.43839542,41.10648715,78.03247373,1
ORD,08/03/2007,Chicago,0,0,4,-3,15,10,-11,0,0,0,IL,0,0,-0.387066542,21.29261364,32.98969072,0
ORD,09/03/2007,Chicago,0,0,13,6,9,12,-2,7.11,1,0,IL,0,0,14.65794393,46.53469388,45.79439252,0
ORD,10/03/2007,Chicago,0,0,11,5,12,14,-1,0,0,0,IL,0,0,-0.507088332,24.85761589,32.93347874,0
ORD,11/03/2007,Chicago,0,0,12,5,16,8,-2,0,0,0,IL,0,0,-0.329400197,24.3908046,34.21828909,0
ORD,12/03/2007,Chicago,0,0,17,10,16,18,2,T,1,0,IL,0,0,-1.511715089,18.55307263,33.552015,0
ORD,13/03/2007,Chicago,0,0,23,16,16,22,9,0,0,0,IL,0,0,-3.866666667,19.65217391,28.07511737,0
ORD,14/03/2007,Chicago,0,0,16,9,13,24,2,4.06,1,1,IL,0,0,7.162136832,35.30858469,40.39362699,0
ORD,15/03/2007,Chicago,0,0,3,1,16,22,-2,T,1,1,IL,0,0,8.628759399,25.29136691,52.2556391,0
ORD,16/03/2007,Chicago,0,0,4,0,16,17,-4,0,0,0,IL,0,0,7.041666667,30.45853659,42.70833333,0
ORD,17/03/2007,Chicago,0,0,4,0,16,12,-4,0,0,0,IL,0,0,10.97588978,32.01822323,50.40183697,0
ORD,18/03/2007,Chicago,0,0,8,1,16,12,-6,0,0,0,IL,0,0,5.929273085,30.66666667,41.25736739,0
ORD,19/03/2007,Chicago,0,0,16,9,16,22,2,1.52,1,0,IL,0,0,8.333333333,29.164,46.55493482,0
ORD,20/03/2007,Chicago,0,0,6,3,16,21,-1,0,0,0,IL,0,0,4.255617978,28.67506297,37.17228464,0
ORD,21/03/2007,Chicago,0,0,19,11,8,23,3,27.18,1,0,IL,1,0,111.3074866,128.7442573,87.29946524,1
ORD,22/03/2007,Chicago,0,0,18,12,16,20,7,2.29,1,0,IL,1,0,63.6749226,71.712313,89.68008256,1
ORD,23/03/2007,Chicago,1,0,11,9,8,11,7,1.02,1,0,IL,0,0,49.21963563,76.56973294,68.21862348,1
ORD,24/03/2007,Chicago,1,0,18,14,5,9,11,T,0,0,IL,0,0,56.81136638,66.71927374,86.57799274,1
ORD,25/03/2007,Chicago,0,0,26,18,11,21,9,0,0,0,IL,0,0,5.369200395,28.76650943,41.85587364,0
ORD,26/03/2007,Chicago,0,0,26,22,16,22,17,0,0,0,IL,0,0,-1.109859155,27.80130293,28.82629108,0
ORD,27/03/2007,Chicago,0,0,23,15,15,17,7,0,0,0,IL,0,0,24.97623574,56.51903114,54.94296578,1
ORD,28/03/2007,Chicago,1,0,10,8,7,20,7,5.08,1,0,IL,0,0,109.09101,117.9546539,93.00776915,1
ORD,29/03/2007,Chicago,0,0,16,12,16,15,8,0,0,0,IL,0,0,12.00289296,38.4020202,47.73384764,0
ORD,30/03/2007,Chicago,0,0,13,11,16,14,8,T,1,0,IL,0,0,10.19698398,33.81532417,47.9736098,0
ORD,31/03/2007,Chicago,0,0,17,12,13,18,7,12.95,1,0,IL,1,0,24.10746606,46.60332103,61.31221719,1
ORD,01/04/2007,Chicago,0,0,16,12,16,28,8,2.29,1,0,IL,0,0,52.54871795,86.48125,65.64102564,1
ORD,02/04/2007,Chicago,0,0,16,11,16,15,5,0,0,0,IL,0,0,3.853448276,33.03225806,35.63218391,0
ORD,03/04/2007,Chicago,0,0,21,12,14,25,2,3.81,1,0,IL,1,0,66.00359281,80.99713467,83.59281437,1
ORD,04/04/2007,Chicago,0,0,2,0,16,33,-2,T,0,1,IL,0,0,35.05736138,53.48571429,70.26768642,1
ORD,05/04/2007,Chicago,0,0,4,1,16,25,-3,0,0,0,IL,0,0,54.30753968,67.22634731,82.83730159,1
ORD,06/04/2007,Chicago,0,0,2,-1,16,25,-5,0,0,0,IL,0,0,41.54280156,56.73013871,77.14007782,1
ORD,07/04/2007,Chicago,0,0,0,-3,16,22,-6,0,0,0,IL,0,0,9.871539313,28.69565217,53.48837209,0
ORD,08/04/2007,Chicago,0,0,4,1,16,12,-2,T,0,1,IL,0,0,-2.28815261,27.66541353,26.70682731,0
ORD,09/04/2007,Chicago,0,0,6,2,16,10,-2,T,0,1,IL,0,0,-1.920560748,22.73291925,30.09345794,0
ORD,10/04/2007,Chicago,0,0,11,4,15,18,-3,0,0,0,IL,0,0,10.51132075,27.56357388,54.90566038,0
ORD,11/04/2007,Chicago,0,0,6,3,3,24,1,29.21,1,1,IL,0,0,113.1991342,118.4909639,95.81529582,1
ORD,12/04/2007,Chicago,0,0,3,2,14,20,1,2.29,1,1,IL,0,0,27.72052846,45.55705706,67.68292683,1
ORD,13/04/2007,Chicago,0,0,11,6,16,13,0,0,0,0,IL,0,0,12.77723735,28.87205387,57.78210117,0
ORD,14/04/2007,Chicago,0,0,9,6,16,14,2,0,0,0,IL,0,0,8.206746464,27.81405896,47.98694233,0
ORD,15/04/2007,Chicago,0,0,14,7,16,14,-2,0,0,0,IL,0,0,9.421747968,30.31446541,48.47560976,0
ORD,16/04/2007,Chicago,0,0,17,8,16,14,0,0,0,0,IL,0,0,10.09727626,34.06597938,47.17898833,0
ORD,17/04/2007,Chicago,0,0,21,12,16,17,2,T,0,0,IL,0,0,3.793804453,27.00497512,38.91577928,0
ORD,18/04/2007,Chicago,0,0,10,7,16,21,4,T,1,0,IL,0,0,5.037463977,25.94922737,43.51585014,0
ORD,19/04/2007,Chicago,0,0,14,10,15,15,5,T,0,0,IL,0,0,-0.412713473,21.09141274,34.25047438,0
ORD,20/04/2007,Chicago,0,0,20,12,16,9,3,0,0,0,IL,0,0,-1.247403211,23.21069182,30.02832861,0
ORD,21/04/2007,Chicago,0,0,25,16,16,16,6,0,0,0,IL,0,0,-4.729234089,24.43497758,24.05609493,0
ORD,22/04/2007,Chicago,0,0,28,20,16,27,11,T,1,0,IL,0,0,0.217347956,27.49074074,32.30309073,0
ORD,23/04/2007,Chicago,0,0,21,16,16,25,11,0,0,0,IL,0,0,4.896682464,22.55741127,45.4028436,0
ORD,24/04/2007,Chicago,0,0,20,13,16,17,7,7.62,1,0,IL,0,0,3.561722488,27.12311558,38.0861244,0
ORD,25/04/2007,Chicago,0,0,9,8,9,27,7,26.92,1,0,IL,0,0,98.91095066,106.7981889,93.02045728,1
ORD,26/04/2007,Chicago,1,0,13,11,4,15,7,12.45,1,0,IL,0,0,85.70567787,97.00390625,88.99188876,1
ORD,27/04/2007,Chicago,0,0,12,9,14,14,6,T,1,0,IL,0,0,18.61877395,38.58564437,58.7164751,1
ORD,28/04/2007,Chicago,0,0,23,13,12,14,4,0,0,0,IL,0,0,-0.835359116,20.64525994,36.13259669,0
ORD,29/04/2007,Chicago,0,0,28,18,16,18,7,3.81,1,0,IL,1,0,-0.994140625,19.35380117,33.3984375,0
ORD,30/04/2007,Chicago,0,0,19,15,15,18,11,0.25,1,0,IL,1,0,5.540337711,23.37349398,46.71669794,0
ORD,01/05/2007,Chicago,0,0,28,19,16,15,10,0,0,0,IL,0,0,14.63173077,39.93023256,49.61538462,0
ORD,02/05/2007,Chicago,0,0,15,11,16,22,6,0,0,0,IL,0,0,2.24452902,22.01741294,38.24928639,0
ORD,03/05/2007,Chicago,0,0,19,13,16,19,8,0,0,0,IL,0,0,2.759552656,20.93243243,41.37931034,0
ORD,04/05/2007,Chicago,0,0,19,14,16,17,9,T,1,0,IL,0,0,-0.440111421,18.37760417,35.6545961,0
ORD,05/05/2007,Chicago,0,0,19,16,16,19,12,T,0,0,IL,0,0,2.624035281,28.01807229,36.60418964,0
ORD,06/05/2007,Chicago,0,0,20,15,16,24,9,0,0,0,IL,0,0,8.752688172,29.51807229,48.68035191,0
ORD,07/05/2007,Chicago,0,0,28,18,16,17,8,T,1,0,IL,0,0,0.492063492,22.6744186,36.13445378,0
ORD,08/05/2007,Chicago,0,0,28,20,15,9,12,0,0,0,IL,0,0,-5.355387524,22.10483871,23.44045369,0
ORD,09/05/2007,Chicago,0,0,25,21,13,10,16,3.3,0,0,IL,0,0,3.135211268,23.71040724,41.50234742,0
ORD,10/05/2007,Chicago,0,0,29,21,14,7,13,0,0,0,IL,0,0,8.517857143,37.21917808,41.16541353,0
ORD,11/05/2007,Chicago,0,0,21,16,16,21,11,0,0,0,IL,0,0,3.424044734,26.24390244,38.21062442,0
ORD,12/05/2007,Chicago,0,0,18,13,16,21,8,0,0,0,IL,0,0,-1.24122807,23.16475096,28.61842105,0
ORD,13/05/2007,Chicago,0,0,21,13,16,13,6,0,0,0,IL,0,0,-0.148543689,22.18181818,32.03883495,0
ORD,14/05/2007,Chicago,0,0,32,23,16,28,13,0,0,0,IL,0,0,19.06074766,42.76271186,55.14018692,1
ORD,15/05/2007,Chicago,0,0,27,21,11,20,14,9.65,1,0,IL,0,0,37.74527253,72.15689981,58.84315907,1
ORD,16/05/2007,Chicago,0,0,19,13,14,20,7,3.56,1,0,IL,1,0,20.57032008,51.31568627,49.46653734,1
ORD,17/05/2007,Chicago,0,0,17,12,16,18,6,0,0,0,IL,0,0,4.993470149,23.22943723,43.09701493,0
ORD,18/05/2007,Chicago,0,0,22,14,16,12,6,0,0,0,IL,0,0,2.287045666,23.81355932,38.49021435,0
ORD,19/05/2007,Chicago,0,0,27,20,16,18,13,0,0,0,IL,0,0,-3.919868277,22.04132231,26.56421515,0
ORD,20/05/2007,Chicago,0,0,21,13,16,17,6,1.78,1,0,IL,1,0,9.035992218,26.60153257,50.77821012,0
ORD,21/05/2007,Chicago,0,0,27,17,16,13,7,0,0,0,IL,0,0,-1.736891386,18.57057057,31.17977528,0
ORD,22/05/2007,Chicago,0,0,31,22,16,16,13,0,0,0,IL,0,0,12.9971374,36.87985213,51.6221374,0
ORD,23/05/2007,Chicago,0,0,32,24,16,19,16,0,0,0,IL,0,0,29.84067479,50.17391304,66.82286785,1
ORD,24/05/2007,Chicago,0,0,31,24,13,28,17,0.51,1,0,IL,0,0,41.65403789,68.79607251,66.00199402,1
ORD,25/05/2007,Chicago,0,0,21,17,16,14,13,T,0,0,IL,0,0,2.52749301,24.13507109,39.32898416,0
ORD,26/05/2007,Chicago,0,0,18,14,12,12,9,25.65,1,0,IL,1,0,35.57397108,56.8101473,67.96440489,1
ORD,27/05/2007,Chicago,0,0,24,19,15,15,14,1.02,1,0,IL,0,0,-3.938409854,24.87671233,24.52407615,0
ORD,28/05/2007,Chicago,0,0,26,18,16,9,10,T,1,0,IL,0,0,-2.837008629,23.14705882,26.07861937,0
ORD,29/05/2007,Chicago,0,0,31,23,13,10,16,0,0,0,IL,0,0,0.356398104,28.35483871,32.32227488,0
ORD,30/05/2007,Chicago,0,0,31,25,14,17,19,0,0,0,IL,0,0,0.987630828,27.60326087,35.01427212,0
ORD,31/05/2007,Chicago,0,0,26,22,14,16,18,0.25,1,0,IL,0,0,25.40921919,51.87179487,58.70178739,1
ORD,01/06/2007,Chicago,0,0,29,23,13,10,17,4.83,1,0,IL,1,0,20.40412979,54.97983871,48.77089479,1
ORD,02/06/2007,Chicago,0,0,27,23,15,12,18,1.02,0,0,IL,0,0,6.220204313,34.66208791,41.31668558,0
ORD,03/06/2007,Chicago,0,0,26,21,15,11,17,0.25,1,0,IL,1,0,37.29716024,63.31336406,66.02434077,1
ORD,04/06/2007,Chicago,0,0,22,18,13,16,14,9.91,1,0,IL,1,0,60.03546099,78.61410256,79.02735562,1
ORD,05/06/2007,Chicago,0,0,18,13,15,14,8,10.67,1,0,IL,0,0,8.516619183,32.63676149,43.39981007,0
ORD,06/06/2007,Chicago,0,0,22,14,16,18,7,0.25,1,0,IL,0,0,4.70510397,24.52747253,43.00567108,0
ORD,07/06/2007,Chicago,0,0,33,27,16,37,22,0,0,0,IL,0,0,55.19651163,73.49925262,77.79069767,1
ORD,08/06/2007,Chicago,0,0,27,21,16,22,14,0,0,0,IL,0,0,39.10060362,69.03703704,62.47484909,1
ORD,09/06/2007,Chicago,0,0,26,19,16,8,11,0,0,0,IL,0,0,0.77838428,28.80756014,31.76855895,0
ORD,10/06/2007,Chicago,0,0,27,20,16,9,13,0,0,0,IL,0,0,0.142161636,19.12594458,38.65628043,0
ORD,11/06/2007,Chicago,0,0,30,22,16,11,14,0,0,0,IL,0,0,3.513488372,29.3680203,36.65116279,0
ORD,12/06/2007,Chicago,0,0,28,23,16,14,17,0,0,0,IL,0,0,11.01347449,41.56979405,42.05967276,0
ORD,13/06/2007,Chicago,0,0,31,23,16,14,16,0,0,0,IL,0,0,11.27815207,36.77291667,46.19826757,0
ORD,14/06/2007,Chicago,0,0,32,25,16,11,18,0,0,0,IL,0,0,4.440298508,25.68764045,41.51119403,0
ORD,15/06/2007,Chicago,0,0,33,25,15,8,17,0,0,0,IL,0,0,0.637465051,22.34447301,36.25349487,0
ORD,16/06/2007,Chicago,0,0,34,27,15,9,19,T,1,0,IL,0,0,8.927116827,29.51287554,49.94640943,0
ORD,17/06/2007,Chicago,0,0,33,27,11,10,21,0,0,0,IL,0,0,5.950914341,30.17718447,39.65351299,0
ORD,18/06/2007,Chicago,0,0,32,26,12,24,21,7.11,1,0,IL,1,0,56.54466231,97.96309315,61.98257081,1
ORD,19/06/2007,Chicago,0,0,27,23,13,18,18,14.73,1,0,IL,0,0,30.97749511,52.12371134,66.43835616,1
ORD,20/06/2007,Chicago,0,0,29,23,16,14,16,0,0,0,IL,0,0,21.72216936,42.33015873,59.94291151,1
ORD,21/06/2007,Chicago,0,0,25,21,16,17,16,0.25,1,0,IL,0,0,10.08247423,33.0814664,46.01686973,0
ORD,22/06/2007,Chicago,0,0,24,21,16,14,16,T,1,0,IL,0,0,14.08504673,27.4421365,62.99065421,0
ORD,23/06/2007,Chicago,0,0,19,18,14,14,17,1.27,1,0,IL,0,0,2.96637744,21.60519481,41.75704989,0
ORD,24/06/2007,Chicago,0,0,25,21,12,13,17,0,0,0,IL,0,0,3.407191448,26.5012987,37.41496599,0
ORD,25/06/2007,Chicago,0,0,32,25,8,11,18,0,0,0,IL,0,0,18.83158896,35.81515152,62.79733587,1
ORD,26/06/2007,Chicago,0,0,33,27,13,11,21,4.06,1,0,IL,1,0,50.79820628,91.63148148,60.53811659,1
ORD,27/06/2007,Chicago,0,0,33,27,14,14,22,3.81,1,0,IL,1,0,64.85308057,99.54231434,68.60189573,1
ORD,28/06/2007,Chicago,0,0,23,19,16,20,14,0,0,0,IL,0,0,29.4534413,52.1792,63.25910931,1
ORD,29/06/2007,Chicago,0,0,21,17,16,13,13,0,0,0,IL,0,0,12.76375712,32.62769784,52.75142315,0
ORD,30/06/2007,Chicago,0,0,26,19,16,9,12,0,0,0,IL,0,0,5.574811625,24.77294686,44.56404736,0
